setor,tickers,qtde_teorica
bens_indls,WEGE3.SA,1481593024.0
bens_indls,EMBR3.SA,734632705.0
bens_indls,AZUL4.SA,327593725.0
bens_indls,CCRO3.SA,995335937.0
bens_indls,GOLL4.SA,198184909.0
bens_indls,RAIL3.SA,1218352541.0
cons_n_basico,BRFS3.SA,1677525446.0
cons_n_basico,JBSS3.SA,1134986472.0
cons_n_basico,MRFG3.SA,292587273.0
cons_n_basico,BEEF3.SA,261036182.0
cons_n_basico,SMTO3.SA,143294210.0
cons_n_ciclico,ABEV3.SA,4394245879.0
cons_n_ciclico,ASAI3.SA,1349645897.0
cons_n_ciclico,CRFB3.SA,531372207.0
cons_n_ciclico,PCAR3.SA,159430826.0
cons_n_ciclico,NTCO3.SA,839638069.0
cons_n_ciclico,RAIZ4.SA,1193671389.0
cons_n_ciclico,SLCE3.SA,101824365.0
consumo_ciclico,ARZZ3.SA,62305891.0
consumo_ciclico,BHIA3.SA,2361578440.0
consumo_ciclico,SOMA3.SA,496029967.0
consumo_ciclico,LREN3.SA,951318467.0
consumo_ciclico,MGLU3.SA,2867627068.0
consumo_ciclico,PETZ3.SA,329077188.0
consumo_ciclico,ALPA4.SA,208965950.0
consumo_ciclico,CYRE3.SA,265784616.0
consumo_ciclico,EZTC3.SA,91514307.0
consumo_ciclico,MRVE3.SA,376187582.0
consumo_ciclico,CVCB3.SA,443905649.0
diversos,COGN3.SA,1815524541.0
diversos,RENT3.SA,852600726.0
diversos,VAMO3.SA,421383330.0
diversos,YDUQ3.SA,289347914.0
financ_e_outros,ALSO3.SA,532616595.0
financ_e_outros,IGTI11.SA,217622138.0
financ_e_outros,MULT3.SA,266965257.0
financ_e_outros,BBDC3.SA,1500728902.0
financ_e_outros,BBDC4.SA,5146576868.0
financ_e_outros,BBAS3.SA,1420949112.0
financ_e_outros,BPAC11.SA,1150645866.0
financ_e_outros,ITSA4.SA,5197306576.0
financ_e_outros,ITUB4.SA,4801593832.0
financ_e_outros,SANB11.SA,342918449.0
financ_e_outros,BBSE3.SA,671750768.0
financ_e_outros,IRBR3.SA,81838843.0
financ_e_outros,B3SA3.SA,5694552584.0
financ_e_outros,CIEL3.SA,1095462329.0
mats_basicos,DXCO3.SA,303055637.0
mats_basicos,KLBN11.SA,706747385.0
mats_basicos,SUZB3.SA,683452836.0
mats_basicos,BRAP4.SA,251003438.0
mats_basicos,CMIN3.SA,1110559345.0
mats_basicos,VALE3.SA,4427123466.0
mats_basicos,BRKM5.SA,265479055.0
mats_basicos,GGBR4.SA,1118525506.0
mats_basicos,GOAU4.SA,660411219.0
mats_basicos,CSNA3.SA,600865451.0
mats_basicos,USIM5.SA,515117391.0
petroleo,RRRP3.SA,235661666.0
petroleo,CSAN3.SA,1168097881.0
petroleo,PETR3.SA,2585311860.0
petroleo,PETR4.SA,4566445852.0
petroleo,RECV3.SA,274957807.0
petroleo,PRIO3.SA,798274909.0
petroleo,UGPA3.SA,1086411192.0
petroleo,VBBR3.SA,1114412532.0
saude,HYPE3.SA,409490388.0
saude,RADL3.SA,1263596819.0
saude,FLRY3.SA,345269967.0
saude,HAPV3.SA,4324011467.0
saude,RDOR3.SA,1168230366.0
tec_informacao,LWSA3.SA,425161586.0
tec_informacao,TOTS3.SA,514122351.0
telecomunicacao,VIVT3.SA,423091712.0
telecomunicacao,TIMS3.SA,807896814.0
utilidade_publ,SBSP3.SA,340001799.0
utilidade_publ,CMIG4.SA,1437415777.0
utilidade_publ,CPLE6.SA,1679335290.0
utilidade_publ,CPFE3.SA,187732538.0
utilidade_publ,ELET3.SA,1980568384.0
utilidade_publ,ELET6.SA,270230714.0
utilidade_publ,ENGI11.SA,290435910.0
utilidade_publ,ENEV3.SA,1578931315.0
utilidade_publ,EGIE3.SA,255230961.0
utilidade_publ,EQTL3.SA,1095587251.0
utilidade_publ,TAEE11.SA,218568234.0
